,Algorithm,Heuristic,True_result,Number of queens,Runtime,Cost,Heuristic_score,Depth,Effective_Branching,Nodes_Processed
1,astar,HeuristicOne,True,4,4.1473400592803955,100,0,5,3.3002265382047016,1292
12,astar,HeuristicOne,True,5,3.5562355518341064,29,0,5,2.783399161995236,465
2,astar,HeuristicOne,True,4,0.9065289497375488,100,0,4,3.1476881267968886,309
3,astar,HeuristicOne,True,4,0.9630491733551025,217,0,4,3.1717650296502993,321
6,astar,HeuristicOne,True,4,0.08386659622192383,18,0,2,3.1072325059538586,30
10,astar,HeuristicOne,True,5,0.07713794708251953,10,0,2,2.2239800905693152,11
14,astar,HeuristicOne,True,5,0.07575750350952148,5,0,2,2.2239800905693152,11
4,astar,HeuristicOne,True,4,0.013939619064331055,2,0,1,2.23606797749979,5
5,astar,HeuristicOne,True,4,0.3134791851043701,64,0,1,10.295630140987,106
7,astar,HeuristicOne,True,4,0.014114618301391602,8,0,1,2.23606797749979,5
8,astar,HeuristicOne,True,4,0.005715370178222656,1,0,1,1.4142135623730951,2
9,astar,HeuristicOne,True,4,0.011748790740966797,12,0,1,2.0,4
11,astar,HeuristicOne,True,5,0.05481863021850586,81,0,1,2.8284271247461903,8
13,astar,HeuristicOne,True,5,1045.2248685359955,81,0,1,335.70224902434,112696
0,astar,HeuristicOne,True,4,6.0558319091796875e-05,0,0,0,0.0,0
